# Sensor-CASSY Messwerte
# Spalten: t_s	U_V	I_A	int_U_Vs
t_s	U_V	I_A	int_U_Vs
0.1090000002	nan	0.042	0
0.25	nan	0.0635	nan
0.4530000007	nan	0.096	nan
0.5930000003	nan	0.119	nan
0.7650000006	nan	0.1475	nan
0.8900000006	nan	0.1675	nan
1.109	nan	0.201	nan
1.25	nan	0.2235	nan
1.437	nan	0.254	nan
1.578000001	nan	0.277	nan
1.765000001	nan	0.3075	nan
1.890000001	nan	0.326	nan
2.078000001	nan	0.3565	nan
2.25	nan	0.3855	nan
2.422	nan	0.3885	nan
2.609	nan	0.359	nan
2.765000001	nan	0.333	nan
2.922	nan	0.3075	nan
3.078000001	nan	0.283	nan
3.234	nan	0.259	nan
3.406	nan	0.2305	nan
3.547	nan	0.208	nan
3.734	nan	0.179	nan
3.859	nan	0.158	nan
4.062	nan	0.125	nan
4.172	nan	0.107	nan
4.328000001	nan	0.082	nan
4.5	nan	0.0555	nan
4.640000001	nan	0.0335	nan
4.765000001	nan	0.0125	nan
4.922	nan	-0.0125	nan
5.093	nan	-0.0385	nan
5.265000001	nan	-0.068	nan
5.390000001	nan	-0.0875	nan
5.593	nan	-0.119	nan
5.797	nan	-0.151	nan
5.953000001	nan	-0.176	nan
6.062	nan	-0.1955	nan
6.234	nan	-0.222	nan
6.359	nan	-0.2415	nan
6.515000001	nan	-0.2665	nan
6.687	nan	-0.2945	nan
6.797	nan	-0.3125	nan
6.953000001	nan	-0.3385	nan
7.125	nan	-0.3635	nan
7.218	nan	-0.381	nan
7.390000001	nan	-0.3915	nan
7.578000001	nan	-0.3635	nan
7.703000001	nan	-0.343	nan
7.906	nan	-0.3105	nan
8.015000001	nan	-0.292	nan
8.203000001	nan	-0.263	nan
8.359	nan	-0.2375	nan
8.531	nan	-0.21	nan
8.687	nan	-0.1865	nan
8.875	nan	-0.155	nan
9.015000001	nan	-0.1335	nan
9.203000001	nan	-0.102	nan
9.359	nan	-0.0785	nan
9.547	nan	-0.048	nan
9.656	nan	-0.0305	nan
9.812	nan	-0.0055	nan
9.968	nan	0.02	nan
10.109	nan	0.0435	nan
10.328	nan	0.0765	nan
10.437	nan	0.096	nan
10.609	nan	0.1235	nan
10.75	nan	0.1455	nan
10.89	nan	0.1675	nan
11.078	nan	0.196	nan
11.203	nan	0.217	nan
11.406	nan	0.2495	nan
11.515	nan	0.2685	nan
11.718	nan	0.3005	nan
11.828	nan	0.318	nan
11.984	nan	0.343	nan
12.187	nan	0.3735	nan
12.359	nan	0.3985	nan
12.5	nan	0.3755	nan
12.687	nan	0.345	nan
12.843	nan	0.3205	nan
13.031	nan	0.2905	nan
13.156	nan	0.27	nan
13.359	nan	0.237	nan
13.5	nan	0.2155	nan
13.687	nan	0.1845	nan
13.843	nan	0.1595	nan
14.015	nan	0.133	nan
14.125	nan	0.115	nan
14.281	nan	0.09	nan
14.453	nan	0.063	nan
14.562	nan	0.0445	nan
14.781	nan	0.0105	nan
14.89	nan	-0.007	nan
15.047	nan	-0.031	nan
15.25	nan	-0.0645	nan
15.437	nan	-0.094	nan
15.578	nan	-0.117	nan
15.765	nan	-0.146	nan
15.922	nan	-0.172	nan
16.109	nan	-0.2015	nan
16.25	nan	-0.224	nan
16.453	nan	-0.257	nan
16.562	nan	-0.2755	nan
16.75	nan	-0.306	nan
16.922	nan	-0.3315	nan
17.093	nan	-0.3595	nan
17.234	nan	-0.3825	nan
17.453	nan	-0.384	nan
17.64	nan	-0.352	nan
17.765	nan	-0.333	nan
17.968	nan	-0.3005	nan
18.125	nan	-0.275	nan
18.297	nan	-0.248	nan
