# Sensor-CASSY Messwerte
# Integrations-Offset: 0.000000 V
# Spalten: t_s	U_V	I_A	int_U_Vs
t_s	U_V	I_A	int_U_Vs
44.813	-0.145	-0.054	0
44.938	-0.305	0.047	-0.028125
45.032	-0.52	0.109	-0.0669
45.219	-0.37	0.249	-0.150115
45.328	-0.21	0.328	-0.181725
45.469	-0.12	0.43	-0.20499
45.578	-0.09	0.5065	-0.216435
45.703	-0.07	0.595	-0.226435
45.828	-0.055	0.684	-0.2342475
45.985	-0.04	0.792	-0.241705
46.094	-0.035	0.878	-0.2457925
46.219	0.005	0.84	-0.2476675
46.36	0.01	0.7325	-0.24661
46.516	0.02	0.6175	-0.24427
46.657	0.025	0.5185	-0.2410975
46.797	0.035	0.416	-0.2368975
46.938	0.05	0.3225	-0.230905
47.078	0.07	0.2225	-0.222505
47.219	0.1	0.12	-0.21052
47.313	0.15	0.0435	-0.19877
47.469	0.33	-0.0635	-0.16133
47.625	0.785	-0.1755	-0.07436
47.782	0.26	-0.293	0.0076725
47.922	0.145	-0.3955	0.0360225
48.094	0.09	-0.514	0.0562325
48.235	0.07	-0.612	0.0675125
48.375	0.05	-0.7225	0.0759125
48.547	0.04	-0.8355	0.0836525
48.688	0	-0.8565	0.0864725
48.828	-0.01	-0.7515	0.0857725
48.985	-0.02	-0.6415	0.0834175
49.172	-0.03	-0.5105	0.0787425
49.328	-0.04	-0.392	0.0732825
49.453	-0.05	-0.3035	0.0676575
49.625	-0.08	-0.1885	0.0564775
49.797	-0.14	-0.0635	0.0375575
49.922	-0.26	0.026	0.0125575
50.063	-0.665	0.1305	-0.052655
50.219	-0.365	0.2515	-0.132995
50.391	-0.16	0.368	-0.178145
50.563	-0.095	0.493	-0.200075
50.719	-0.065	0.606	-0.212555
50.86	-0.05	0.707	-0.2206625
51.032	-0.04	0.828	-0.2284025
51.188	0	0.8635	-0.2315225
51.328	0.01	0.754	-0.2308225
51.5	0.015	0.633	-0.2286725
51.61	0.025	0.547	-0.2264725
51.766	0.03	0.436	-0.2221825
51.938	0.045	0.314	-0.2157325
52.11	0.075	0.1895	-0.2054125
52.235	0.11	0.1095	-0.19385
52.375	0.2	-0.0025	-0.17215
52.547	0.57	-0.1195	-0.10593
52.672	0.59	-0.2095	-0.03343
52.813	0.225	-0.3165	0.0240275
52.969	0.125	-0.4285	0.0513275
53.11	0.085	-0.5245	0.0661325
53.282	0.06	-0.647	0.0786025
53.453	0.045	-0.7685	0.08758
53.594	0.035	-0.879	0.09322
53.735	-0.005	-0.822	0.095335
53.907	-0.015	-0.6975	0.093615
54.078	-0.02	-0.576	0.0906225
54.235	-0.03	-0.4665	0.0866975
54.391	-0.045	-0.3525	0.0808475
54.532	-0.065	-0.247	0.0730925
54.703	-0.1	-0.13	0.058985
54.844	-0.18	-0.023	0.039245
54.985	-0.375	0.072	0.0001175000002
55.157	-0.655	0.1955	-0.0884625
55.313	-0.22	0.317	-0.1567125
55.453	-0.125	0.418	-0.1808625
55.625	-0.08	0.5345	-0.1984925
55.766	-0.06	0.6415	-0.2083625
55.938	-0.045	0.763	-0.2173925
56.094	-0.035	0.873	-0.2236325
56.219	0.005	0.83	-0.2255075
56.391	0.01	0.7085	-0.2242175
56.563	0.02	0.5865	-0.2216375
56.703	0.03	0.483	-0.2181375
56.844	0.04	0.3845	-0.2132025
57.016	0.06	0.265	-0.2046025
57.157	0.09	0.156	-0.1940275
57.328	0.16	0.036	-0.1726525
57.469	0.345	-0.068	-0.13705
57.657	0.695	-0.195	-0.03929
57.782	0.28	-0.2865	0.0216475
57.938	0.135	-0.4055	0.0540175
58.11	0.085	-0.5255	0.0729375
58.219	0.065	-0.609	0.0811125
58.391	0.05	-0.728	0.0910025
58.563	0.035	-0.8525	0.0983125
58.735	-0.005	-0.8275	0.1008925
58.875	-0.01	-0.719	0.0998425
59.047	-0.02	-0.5955	0.0972625
59.219	-0.03	-0.4765	0.0929625
59.391	-0.045	-0.3555	0.0865125
59.5	-0.06	-0.2685	0.08079
59.672	-0.095	-0.153	0.06746
59.828	-0.17	-0.0335	0.04679
59.985	-0.37	0.073	0.0044
60.125	-0.745	0.1765	-0.07365
60.282	-0.255	0.2955	-0.15215
60.453	-0.13	0.415	-0.1850675
60.578	-0.09	0.501	-0.1988175
60.719	-0.065	0.611	-0.209745
60.891	-0.045	0.733	-0.219205
61.032	-0.04	0.834	-0.2251975
61.172	-0.005	0.8655	-0.2283475
61.344	0.01	0.7455	-0.2279175
61.516	0.015	0.6255	-0.2257675
61.625	0.025	0.541	-0.2235875
61.782	0.035	0.4315	-0.2188775
61.938	0.045	0.3125	-0.2126375
62.11	0.08	0.188	-0.2018875
62.266	0.125	0.0855	-0.1858975
62.422	0.245	-0.0295	-0.1570375
62.563	0.685	-0.136	-0.0914725
62.735	0.375	-0.253	-0.0003125000006
62.875	0.165	-0.3625	0.0374875
63.047	0.095	-0.486	0.0598475
63.188	0.07	-0.5865	0.07148
63.36	0.055	-0.702	0.08223
63.516	0.04	-0.815	0.08964
63.657	0.015	-0.8805	0.0935175
63.797	-0.01	-0.7755	0.0938675
63.953	-0.015	-0.663	0.0919175
64.125	-0.02	-0.5455	0.0889075
64.25	-0.035	-0.4525	0.08547
64.407	-0.05	-0.3385	0.0787975
64.563	-0.07	-0.2315	0.0694375
64.719	-0.11	-0.1125	0.0553975
64.875	-0.205	-0.0055	0.0308275
65.032	-0.52	0.1075	-0.026085
65.188	-0.51	0.2195	-0.106425
65.407	-0.15	0.384	-0.178695
65.532	-0.105	0.4715	-0.1946325
65.688	-0.07	0.588	-0.2082825
65.86	-0.05	0.71	-0.2186025
66.016	-0.035	0.816	-0.2252325
66.141	-0.025	0.8875	-0.2289825
66.313	0.01	0.771	-0.2302725
66.485	0.015	0.6485	-0.2281225
66.625	0.02	0.544	-0.2256725
66.782	0.035	0.4335	-0.221355
66.938	0.05	0.312	-0.214725
67.11	0.075	0.1935	-0.203975
67.219	0.11	0.1095	-0.1938925
67.391	0.205	-0.007	-0.1668025
67.547	0.58	-0.122	-0.1055725
67.672	0.565	-0.2115	-0.03401
67.828	0.22	-0.3235	0.02722
68	0.115	-0.4485	0.05603
68.172	0.075	-0.5765	0.07237
68.328	0.055	-0.688	0.08251
68.5	0.04	-0.806	0.09068
68.657	0.02	-0.885	0.09539
68.797	-0.01	-0.775	0.09609
68.969	-0.015	-0.654	0.09394
69.141	-0.025	-0.5315	0.0905
69.297	-0.035	-0.423	0.08582
69.438	-0.05	-0.3185	0.0798275
69.594	-0.075	-0.206	0.0700775
69.735	-0.115	-0.102	0.0566825
69.907	-0.245	0.0215	0.0257225
70.063	-0.665	0.131	-0.0452575
70.219	-0.38	0.246	-0.1267675
70.375	-0.175	0.356	-0.1700575
70.547	-0.1	0.4795	-0.1937075
70.688	-0.07	0.582	-0.2056925
70.828	-0.055	0.6805	-0.2144425
71.016	-0.035	0.8195	-0.2229025
71.172	-0.005	0.87	-0.2260225
71.328	0.01	0.7565	-0.2256325
71.469	0.015	0.6525	-0.22387
71.657	0.025	0.5195	-0.22011
71.828	0.035	0.3965	-0.21498
71.985	0.06	0.28	-0.2075225
72.172	0.095	0.1455	-0.19303
72.375	0.19	0.0065	-0.1641025
72.578	0.715	-0.1405	-0.072245
72.766	0.3	-0.278	0.023165
72.985	0.115	-0.4385	0.0686075
