# Sensor-CASSY Messwerte
# Integrations-Offset: 0.000000 V
# Spalten: t_s	U_V	I_A	int_U_Vs
t_s	U_V	I_A	int_U_Vs
0.125	-0.44	0.1955	0
0.25	-0.22	0.2955	-0.04125
0.407	-0.13	0.4085	-0.068725
0.516	-0.075	0.474	-0.0798975
0.703	-0.04	0.55	-0.09065
0.813	-0.03	0.578	-0.0945
0.953	-0.01	0.599	-0.0973
1.063	0	0.5955	-0.09785
1.188	0	0.5775	-0.09785
1.313	0.005	0.541	-0.0975375
1.453	0.015	0.476	-0.0961375
1.594	0.02	0.3995	-0.09367
1.766	0.04	0.2915	-0.08851
1.922	0.07	0.181	-0.07993
2.032	0.135	0.0835	-0.068655
2.188	0.225	-0.0435	-0.040575
2.328	0.715	-0.1385	0.025225
2.453	0.45	-0.237	0.0980375
2.625	0.155	-0.3395	0.1500675
2.75	0.09	-0.411	0.16538
2.891	0.055	-0.4665	0.1756025
3.016	0.03	-0.4985	0.180915
3.157	0.01	-0.5215	0.183735
3.313	0	-0.52	0.184515
3.469	-0.005	-0.498	0.184125
3.61	-0.015	-0.454	0.182715
3.75	-0.015	-0.396	0.180615
3.938	-0.035	-0.2965	0.175915
4.032	-0.05	-0.2355	0.17192
4.188	-0.085	-0.137	0.16139
4.328	-0.16	-0.043	0.14424
4.438	-0.255	0.0335	0.121415
4.563	-0.555	0.125	0.07079
4.719	-0.4	0.2105	-0.0037
4.844	-0.2	0.2805	-0.0412
4.985	-0.09	0.3515	-0.061645
5.094	-0.055	0.394	-0.0695475
5.25	-0.035	0.4345	-0.0765675
5.375	-0.02	0.4535	-0.080005
5.5	-0.005	0.458	-0.0815675
5.657	0	0.445	-0.08196
5.797	0.005	0.413	-0.08161
5.938	0.01	0.3685	-0.0805525
6.047	0.02	0.3225	-0.0789175
6.188	0.03	0.2495	-0.0753925
6.313	0.05	0.1885	-0.0703925
6.438	0.07	0.1165	-0.0628925
6.563	0.125	0.0415	-0.050705
6.703	0.245	-0.048	-0.024805
6.86	0.505	-0.1265	0.03407
6.985	0.335	-0.206	0.08657
7.125	0.155	-0.2645	0.12087
7.266	0.095	-0.318	0.138495
7.407	0.055	-0.3595	0.14907
7.563	0.025	-0.3905	0.15531
7.719	0	-0.4	0.15726
7.86	-0.005	-0.393	0.1569075
7.985	-0.01	-0.3735	0.15597
8.11	-0.015	-0.343	0.1544075
8.235	-0.02	-0.303	0.15222
8.375	-0.03	-0.2485	0.14872
8.516	-0.045	-0.18	0.1434325
8.641	-0.06	-0.1245	0.13687
8.797	-0.11	-0.0395	0.12361
8.938	-0.185	0.0315	0.1028125
9.047	-0.33	0.089	0.074745
9.203	-0.49	0.1605	0.010785
9.313	-0.24	0.209	-0.029365
9.469	-0.105	0.268	-0.056275
9.61	-0.075	0.304	-0.068965
9.75	-0.04	0.3335	-0.077015
9.907	-0.015	0.349	-0.0813325
10.016	0	0.3485	-0.08215
10.172	0.005	0.335	-0.08176
10.313	0.005	0.3075	-0.081055
10.469	0.015	0.2665	-0.079495
10.594	0.02	0.224	-0.0773075
10.75	0.035	0.1655	-0.0730175
10.891	0.06	0.106	-0.06632
11.032	0.1	0.0375	-0.05504
